Timestamp,User,Module,Event,Mark
2025-01-12 23:02:35,Client1,usb,Обнаружено содержимое конфиденциальной информации: E:\chmo.txt,Высокий уровень угрозы
2025-01-12 23:33:46,Client1,usb,Подключено устройство: E:\,Низкий уровень угрозы
2025-01-12 23:34:09,Client1,usb,Обнаружен защищенный файл: E:\users.csv,Средний уровень угрозы
2025-01-12 23:35:47,Client1,usb,Подключено устройство: E:\,Низкий уровень угрозы
2025-01-12 23:42:20,Client1,usb,Подключено устройство: E:\,Низкий уровень угрозы
2025-01-12 23:42:44,Client1,usb,Обнаружен защищенный файл: E:\users.csv,Средний уровень угрозы
2025-01-12 23:43:14,Client1,usb,Подключено устройство: E:\,Низкий уровень угрозы
2025-01-12 23:43:37,Client1,usb,Обнаружен защищенный файл: E:\users.csv,Средний уровень угрозы
2025-01-12 23:45:30,Client1,usb,Подключено устройство: E:\,Низкий уровень угрозы
2025-01-12 23:45:46,Client1,usb,Обнаружен защищенный файл: E:\users.csv,Средний уровень угрозы
2025-01-12 23:46:47,Client1,usb,Подключено устройство: E:\,Низкий уровень угрозы
2025-01-12 23:49:31,Client1,usb,Подключено устройство: E:\,Низкий уровень угрозы
2025-01-12 23:50:13,Client1,usb,Подключено устройство: E:\,Низкий уровень угрозы
2025-01-12 23:50:43,Client1,usb,Обнаружен защищенный файл: E:\users.csv,Средний уровень угрозы
2025-01-12 23:52:38,Client1,usb,Подключено устройство: E:\,Низкий уровень угрозы
2025-01-12 23:52:49,Client1,usb,Обнаружен защищенный файл: E:\users.csv,Средний уровень угрозы
2025-01-12 23:53:45,Client1,usb,Подключено устройство: E:\,Низкий уровень угрозы
2025-01-12 23:53:57,Client1,usb,Обнаружен защищенный файл: E:\users.csv,Средний уровень угрозы
2025-01-13 00:00:31,Client1,usb,Подключено устройство: E:\,Низкий уровень угрозы
2025-01-13 00:01:34,Client1,usb,Подключено устройство: E:\,Низкий уровень угрозы
2025-01-13 00:05:04,Client1,usb,Подключено устройство: E:\,Низкий уровень угрозы
2025-01-13 00:06:12,Client1,usb,Подключено устройство: E:\,Низкий уровень угрозы
2025-01-13 00:11:13,Client1,usb,Подключено устройство: E:\,Низкий уровень угрозы
2025-01-13 00:12:07,Client1,usb,Обнаружен защищенный файл: E:\users.csv,Средний уровень угрозы
2025-01-13 00:12:08,Client1,usb,Обнаружен защищенный файл: E:\users.csv,Средний уровень угрозы
2025-01-13 00:12:08,Client1,usb,Обнаружено содержимое конфиденциальной информации: E:\users.csv,Высокий уровень угрозы
2025-01-13 00:12:08,Client1,usb,Файл удалён: E:\users.csv,Высокий уровень угрозы
2025-01-13 00:16:58,Client1,usb,Подключено устройство: E:\,Низкий уровень угрозы
2025-01-13 00:17:33,Client1,usb,Обнаружен защищенный файл: E:\users.csv,Средний уровень угрозы
2025-01-13 00:17:34,Client1,usb,Обнаружен защищенный файл: E:\users.csv,Средний уровень угрозы
2025-01-13 00:17:34,Client1,usb,Обнаружено содержимое конфиденциальной информации: E:\users.csv,Высокий уровень угрозы
2025-01-13 00:17:34,Client1,usb,Файл удалён: E:\users.csv,Высокий уровень угрозы
2025-01-13 00:18:05,Client1,usb,Обнаружен защищенный файл: E:\users.csv,Средний уровень угрозы
2025-01-13 00:18:06,Client1,usb,Обнаружен защищенный файл: E:\users.csv,Средний уровень угрозы
2025-01-13 00:18:06,Client1,usb,Обнаружено содержимое конфиденциальной информации: E:\users.csv,Высокий уровень угрозы
2025-01-13 00:18:06,Client1,usb,Файл удалён: E:\users.csv,Высокий уровень угрозы
